ASTEROIDIEN RATAELEMENTTEJA (kts triad_read.pro)
NUMBER   A    E   sinI    WBAR   NODE
     0     2.76700    0.0970    0.1690      147.80       78.70
     1     2.77100    0.1800    0.5840      156.10      184.30
     2     2.67000    0.2180    0.2450       63.60      172.60
     3     2.36200    0.0970    0.1120      228.00      107.10
     4     2.57800    0.2150    0.0830      143.50      152.70
     5     2.42500    0.1460    0.2580       39.00      140.20
     6     2.38600    0.2100    0.1150       54.20      264.30
     7     2.20100    0.1410    0.0970       60.00      116.90
     8     2.38600    0.1250    0.0830       91.60       65.50
     9     3.14400    0.1360    0.0920      224.50      285.10
    10     2.45200    0.0720    0.0680      302.60      133.70
    11     2.33400    0.1720    0.1670      293.40      236.80
    12     2.57600    0.1210    0.2810      135.10       41.00
    13     2.58800    0.1910    0.1530      181.10       86.00
    14     2.64400    0.1430    0.2310       41.20      292.60
    15     2.92200    0.1000    0.0450       20.20      171.40
    16     2.46900    0.1410    0.0880      247.30      133.10
    17     2.29600    0.1740    0.1790       29.70      153.20
    18     2.44200    0.1310    0.0390       43.60      233.60
    19     2.40800    0.1620    0.0260      114.40      242.50
    20     2.43500    0.1270    0.0380      322.40       76.70
    21     2.91000    0.1090    0.2220       71.70       63.90
    22     2.62600    0.2490    0.1800      130.90       61.10
    23     3.13300    0.1590    0.0200      155.30      315.10
    24     2.40000    0.1830    0.4170      295.40      214.60
    25     2.65600    0.1340    0.0520      222.10       28.40
    26     2.34700    0.1870    0.0120      102.20      104.60
    27     2.77600    0.1760    0.1530      138.50      151.90
    28     2.55400    0.0660    0.1100       87.80      347.20
    29     2.36600    0.1030    0.0500       49.60      295.90
    30     3.15600    0.0990    0.4690       84.10       23.90
    31     2.58800    0.1140    0.1090      189.90      228.90
    32     2.86500    0.3000    0.0390      341.60      334.00
    33     2.68700    0.1530    0.1000      167.70      197.40
    34     2.99700    0.2540    0.1580      200.50      341.20
    36     2.64200    0.1650    0.0610       80.40      350.40
    37     2.74000    0.1630    0.1410      120.50      293.80
    38     2.76900    0.0880    0.1720       10.30      162.70
    39     2.26700    0.0190    0.0640       82.20       99.30
    40     2.76500    0.2790    0.2910      211.90      176.00
    41     2.44100    0.1860    0.1370      314.10       81.40
    42     2.20300    0.1400    0.0710      260.70      261.00
    43     2.42200    0.1770    0.0540      124.20      145.50
    44     2.72100    0.1150    0.1070      217.50      155.80
    45     2.52500    0.1340    0.0440      355.80      206.00
    46     2.88100    0.1110    0.0920      302.10      351.50
    47     3.11200    0.0640    0.1160      113.40      194.70
    48     3.09000    0.1930    0.0850       40.70      287.90
    49     2.65000    0.2360    0.0480       12.70      198.00
    50     2.36600    0.1110    0.1770      170.40      180.60
    51     3.09700    0.1190    0.1130      124.90      135.60
    52     2.61800    0.2150    0.0830      104.00      157.70
    53     2.71000    0.1790    0.2210      289.90      311.70
    54     2.76000    0.1020    0.1240       15.40        1.80
    55     2.59800    0.2080    0.1600      287.90      201.10
    56     3.15300    0.0950    0.2710       61.40      202.70
    57     2.70000    0.0880    0.0830      189.70      173.50
    58     2.71300    0.0940    0.1470       27.90      177.10
    59     2.39300    0.2010    0.0760      111.70      206.30
    60     2.98400    0.1220    0.3190      341.40      330.60
    61     3.12200    0.1460    0.0230       47.60      151.20
    62     2.39500    0.1190    0.1100      254.10      330.50
    63     2.68200    0.1510    0.0410      141.30      293.10
    64     3.42900    0.1290    0.0560      244.90      175.60
    65     2.64600    0.1710    0.0590       41.40      326.10
    66     2.42100    0.1520    0.1190      298.70      211.00
    67     2.78200    0.1440    0.1320      343.80       39.00
    68     2.97900    0.1740    0.1600      124.70      195.40
    69     2.61600    0.1460    0.1980      289.70       43.00
    70     2.75500    0.1170    0.4340      222.70      314.30
    71     2.26600    0.0770    0.1050      292.10      212.40
    72     2.66500    0.0380    0.0440      136.90      342.80
    73     2.78000    0.1990    0.0770       10.70      214.50
    74     2.67100    0.2670    0.0910      331.30      348.50
    75     3.39000    0.1860    0.0530      105.80      232.30
    76     2.66800    0.1090    0.0480       80.80      338.00
    77     2.62000    0.2320    0.1660      132.20      330.30
    78     2.44400    0.1750    0.0900       57.00      216.40
    79     2.29600    0.1470    0.1620        7.20      223.40
    80     2.85400    0.1790    0.1490       57.80      351.90
    81     2.76500    0.2460    0.0510      142.10        5.90
    82     2.43100    0.1200    0.0810      187.70       18.20
    83     2.36200    0.1900    0.1690      340.90      321.90
    84     2.65400    0.1430    0.2250      320.50      209.20
    85     3.10800    0.1760    0.0670       35.70       85.90
    86     3.48600    0.0510    0.1710      320.00       71.30
    87     2.76800    0.1430    0.1110      297.50      275.50
    88     2.55200    0.0890    0.2960       37.90      308.40
    89     3.14800    0.1500    0.0240      295.70       43.30
    90     2.59000    0.1130    0.0390      100.10      343.30
    91     3.19300    0.0610    0.1520      311.30      102.40
    92     2.75500    0.1380    0.1580       41.40      135.60
    93     3.15800    0.0680    0.1450       77.50      355.40
    94     3.06800    0.1120    0.2410       46.70      247.40
    95     3.05100    0.1640    0.2980      162.20      317.20
    96     2.66800    0.2280    0.2220       75.60      164.90
    97     2.68700    0.2250    0.2800      156.10      352.60
    98     2.66400    0.2150    0.2310      225.90       36.10
    99     3.09600    0.1450    0.0940      296.00      135.00
   100     2.58400    0.1040    0.1820      322.90      338.80
   101     2.66100    0.2340    0.1050        1.20      225.40
   102     2.70200    0.0580    0.0810      293.20      145.50
   103     3.14900    0.1410    0.0440       80.50       16.00
   104     2.37400    0.1680    0.3870      234.70      187.00
   105     3.17200    0.1360    0.0640       39.80       52.30
   106     3.48800    0.0840    0.1710      139.40      182.80
   107     3.21800    0.1230    0.0860      177.20      337.40
   108     2.69600    0.2770    0.1670       64.10      351.90
   109     2.73300    0.0470    0.0900      315.00       49.90
   110     2.59300    0.1240    0.1020      126.10      300.40
   111     2.43400    0.0900    0.0560      335.40      309.50
   112     2.37600    0.1230    0.0770      190.00      130.10
   113     2.67600    0.1810    0.0830      165.40      178.60
   114     2.38000    0.1710    0.2230       66.30      307.70
   115     2.76800    0.1760    0.0500      162.00       51.90
   116     2.99100    0.0280    0.2640      135.60      345.40
   117     2.43900    0.1640    0.1280       92.20       40.80
   118     2.58100    0.0490    0.1080       26.80      212.70
   119     3.11800    0.0880    0.1350      204.60      332.90
   120     3.45100    0.0890    0.1160        1.50       71.30
   121     3.22200    0.0710    0.0330      183.60      220.00
   122     2.69600    0.1250    0.1300       84.60      304.70
   123     2.63000    0.0800    0.0560      229.30      207.20
   124     2.74300    0.0860    0.0790      250.10      183.00
   125     2.43900    0.0690    0.0460      349.20        5.20
   126     2.75600    0.0920    0.1390      152.60       24.80
   127     2.75000    0.0880    0.0910       24.00       73.20
   128     2.87200    0.2280    0.2260       41.40      310.00
   130     2.43100    0.0980    0.0730      205.00       60.90
   131     2.61100    0.2120    0.5330      143.00      253.60
   132     3.06500    0.1480    0.1500      237.60      315.30
   133     2.56500    0.1050    0.2110       91.60      342.10
   134     2.42700    0.1740    0.0480      315.80      323.60
   135     2.28700    0.0230    0.1730      286.20      189.50
   136     3.11900    0.1590    0.2640      296.90      208.20
   137     2.44700    0.1380    0.0440      304.40       42.10
   138     2.78500    0.2000    0.1950      166.90      357.10
   139     2.73200    0.2010    0.0360      291.70      112.90
   140     2.66600    0.1620    0.2330       18.70      313.80
   141     2.41900    0.1590    0.0580      210.90      286.10
   142     2.76100    0.0940    0.2120      205.00      328.50
   143     2.65500    0.1960    0.0720       10.50       70.00
   144     2.67300    0.1600    0.2080      128.60       74.20
   145     2.71900    0.0860    0.2110      212.00       84.00
   146     3.13700    0.0110    0.0530      195.10      260.50
   147     2.77100    0.0980    0.4330       22.30      145.00
   148     2.17500    0.0790    0.0250       96.80      183.20
   149     2.98200    0.0900    0.0500      354.10      231.10
   150     2.59200    0.0690    0.1030      171.60       31.30
   151     3.14000    0.0740    0.2040      117.80       35.70
   153     2.75900    0.2620    0.2120       91.10       31.70
   154     2.72900    0.2460    0.1960      214.60      249.50
   155     2.57900    0.2090    0.2100      114.50       56.90
   156     2.86900    0.0450    0.0380      103.70      277.80
   157     3.10600    0.1170    0.0910      126.80      143.80
   158     2.72800    0.0520    0.0690       95.00      352.70
   159     2.37900    0.0950    0.1550      300.30       13.90
   160     3.02200    0.2060    0.1050      154.60       29.90
   161     2.36800    0.2080    0.0820      107.50      174.00
   162     2.63300    0.2130    0.4630        1.80       79.90
   163     3.13000    0.0750    0.2150      264.50      301.50
   164     2.68600    0.1670    0.2080       39.50      132.30
   165     2.85400    0.0430    0.0370      236.70      197.20
   166     3.37900    0.0250    0.0890       54.50      221.30
   167     2.35800    0.0930    0.0960      321.40      346.30
   168     2.55400    0.0990    0.2660      121.20      299.60
   169     3.13400    0.1610    0.0240      160.00      101.80
   170     2.38000    0.0700    0.1780      324.70      327.80
   171     2.74300    0.1600    0.2430       16.30      150.20
   172     2.86100    0.1330    0.2350      244.40      324.90
   173     3.21200    0.1760    0.0570      330.80        2.50
   174     3.17800    0.1530    0.3930       16.30      203.60
   175     2.77000    0.1980    0.0400       28.10      314.70
   176     2.46000    0.0590    0.0220      224.40       24.80
   177     2.97200    0.0700    0.1570      350.30      255.80
   178     2.72200    0.1900    0.0340      136.40      290.50
   179     3.13200    0.1950    0.3250      114.40      151.80
   180     2.41600    0.1750    0.0190       67.90      123.90
   181     2.79500    0.1830    0.5030       40.20      141.10
   182     3.18300    0.1130    0.0380      187.40      304.00
   183     2.73900    0.0990    0.3890      356.30      154.70
   184     2.36200    0.0750    0.2220      334.30       12.30
   185     2.73200    0.2560    0.1830      210.00       12.80
   186     2.76200    0.1410    0.2270      295.60      242.60
   187     2.45000    0.0110    0.0980       89.80      211.90
   188     2.89600    0.0470    0.1920       38.00      164.90
   189     2.40300    0.2070    0.1300       16.60      333.50
   190     2.60000    0.2650    0.2520       80.00      345.70
   191     2.61600    0.1660    0.3060      322.20      164.10
   192     2.87900    0.0680    0.1230      154.50      358.50
   193     3.11400    0.0390    0.1080      216.70       68.50
   194     2.73900    0.1300    0.1370      309.30       78.70
   196     3.16700    0.1890    0.2490      252.60       90.90
   197     2.73700    0.0840    0.1360       70.70      318.80
   198     2.67800    0.1400    0.0940      315.30      168.20
   199     3.07200    0.1270    0.1390      146.00      143.10
   200     2.73700    0.0390    0.0640       84.20      331.50
   201     2.67100    0.1770    0.1560      247.70      210.00
